"movie_id";"cast";"cover_image";"director";"duration";"genre";"name";"producer";"rating";"status";"synopsis";"trailer_url";"year"
12;"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier";"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,666,1000_AL_.jpg";"David Fincher";139;"3";"Fight Club";"David Fincher";2;1;"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.";"https://www.youtube.com/watch?v=qtRKdVHc-cE";"1999"
13;"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean";"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SY999_CR0,0,673,999_AL_.jpg";"Peter Jackson";178;"5";"The Lord of the Rings: The Fellowship of the Ring";"Peter Jackson";2;0;"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.";"https://www.youtube.com/watch?v=V75dMMIW2B4";"2001"
14;"Tom Hanks, Robin Wright, Gary Sinise, Sally Field";"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg";"Robert Zemeckis";142;"6";"Forrest Gump";"Robert Zemeckis";2;0;"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.";"https://www.youtube.com/watch?v=bLvqoHBptjg";"1994"
15;"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè";"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_SY1000_CR0,0,656,1000_AL_.jpg";"Sergio Leone";178;"0";"The Good, the Bad and the Ugly";"Sergio Leone";3;0;"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.";"https://www.youtube.com/watch?v=WCN5JJY_wiA";"1966"
16;"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom";"https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,684,1000_AL_.jpg";"Peter Jackson";179;"1";"The Lord of the Rings: The Two Towers";"Peter Jackson";2;1;"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.";"https://www.youtube.com/watch?v=LbfMDwc4azU";"2002"
17;"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving";"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,665,1000_AL_.jpg";"Lana Wachowski, Lilly Wachowski";136;"0";"The Matrix";"Lilly Wachowski";3;1;"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.";"https://www.youtube.com/watch?v=m8e-FF8MsqU";"1999"
18;"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco";"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX667_CR0,0,667,999_AL_.jpg";"Martin Scorsese";146;"4";"Goodfellas";"Martin Scorsese";3;0;"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.";"https://www.youtube.com/watch?v=qo5jJpHtI1Y";"1990"
19;"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams";"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,641,1000_AL_.jpg";"Irvin Kershner";124;"1";"Star Wars: Episode V - The Empire Strikes Back";"Irvin Kershner";1;1;"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.";"https://www.youtube.com/watch?v=5TJuVT-q6yk";"1980"
20;"Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman";"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_CR0,0,672,1000_AL_.jpg";"Milos Forman";133;"3";"One Flew Over the Cuckoo's Nest";"Milos Forman";3;0;"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.";"https://www.youtube.com/watch?v=OXrcDonY-B8";"1975"
22;"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba";"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SY1000_CR0,0,735,1000_AL_.jpg";"Masaki Kobayashi";133;"3";"Harakiri";"Masaki Kobayashi";3;0;"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.";"https://www.youtube.com/watch?v=pRp1tUHpWNs";"1962"
23;"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi";"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SY1000_CR0,0,674,1000_AL_.jpg";"Bong Joon Ho";132;"2";"Parasite";"Bong Joon Ho";3;1;"All unemployed, Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident.";"https://www.youtube.com/watch?v=5xH0HfJHsaY";"2019"
24;"Mohanlal, Meena, Ansiba, Baiju V.K.";"https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg";"Jeethu Joseph";160;"4";"Drishyam";"Jeethu Joseph";3;1;"A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.";"https://www.youtube.com/watch?v=eMASubc1y_k";"2013"
25;"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy";"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY1000_SX675_AL_.jpg";"Christopher Nolan";169;"5";"Interstellar";"Christopher Nolan";2;1;"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.";"https://www.youtube.com/watch?v=2LqzF5WauAw";"2014"
26;"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen";"https://m.media-amazon.com/images/M/MV5BNDJiNTEwMjMtOGQ1ZC00OTczLWFjZjctZWQ0MGJjZmFkMjcwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,670,1000_AL_.jpg";"Fernando Meirelles";130;"4";"City of God";"Kátia Lund";3;0;"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.";"https://www.youtube.com/watch?v=dcUOO4Itgmw";"2002"
27;"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano";"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_SX670_AL_.jpg";"Roberto Benigni";116;"2";"Life Is Beautiful";"Roberto Benigni";2;0;"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.";"https://www.youtube.com/watch?v=pAYEQP8gx3w";"1997"
28;"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness";"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,643,1000_AL_.jpg";"George Lucas";121;"5";"Star Wars: Episode IV - A New Hope";"George Lucas";1;0;"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.";"https://www.youtube.com/watch?v=1g3_CFmnU7k";"1977"
29;"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki";"https://m.media-amazon.com/images/M/MV5BODdlYjU1Y2MtMWUxMy00YjJjLTgyMWItNzgzZmZkNTYxNWFkXkEyXkFqcGdeQXVyMTAwMjU1MzA2._V1_SX647_CR0,0,647,999_AL_.jpg";"Akira Kurosawa";207;"0";"Seven Samurai";"Akira Kurosawa";4;1;"A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.";"https://www.youtube.com/watch?v=bBfgNpSQm3I";"1954"
30;"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans";"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SY1000_CR0,0,674,1000_AL_.jpg";"Anthony Russo";149;"5";"Avengers: Infinity War";"Joe Russo";2;1;"The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.";"https://www.youtube.com/watch?v=6ZfuNTqbHE8";"2018"
31;"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot";"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SY1000_CR0,0,674,1000_AL_.jpg";"Olivier Nakache";112;"2";"The Intouchables";"Éric Toledano";3;1;"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.";"https://www.youtube.com/watch?v=34WIbmXkewU";"2011"
32;"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover";"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_CR0,0,643,1000_AL_.jpg";"Robert Zemeckis";116;"1";"Back to the Future";"Robert Zemeckis";1;0;"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.";"https://www.youtube.com/watch?v=qvsgGtivCgs";"1985"
33;"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick";"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY999_CR0,0,672,999_AL_.jpg";"James Cameron";137;"0";"Terminator 2: Judgment Day";"James Cameron";3;0;"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.";"https://www.youtube.com/watch?v=lwSysg9o7wE";"1991"
34;"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne";"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SY1000_CR0,0,674,1000_AL_.jpg";"Michel Gondry";108;"6";"Eternal Sunshine of the Spotless Mind";"Michel Gondry";3;0;"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.";"https://www.youtube.com/watch?v=07-QBnEkgXU";"2004"
35;"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta";"https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SY1000_CR0,0,666,1000_AL_.jpg";"Jean-Pierre Jeunet";122;"6";"Amélie";"Jean-Pierre Jeunet";3;1;"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.";"https://www.youtube.com/watch?v=HUECWi5pX7o";"2001"
36;"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård";"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_CR0,0,655,1000_AL_.jpg";"Gus Van Sant";126;"6";"Good Will Hunting";"Gus Van Sant";3;0;"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.";"https://www.youtube.com/watch?v=PaZVjZEFkRs";"1997"
37;"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains";"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg";"Michael Curtiz";102;"6";"Casablanca";"Michael Curtiz";1;1;"A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.";"https://www.youtube.com/watch?v=BkL9l7qovsE";"1942"
38;"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner";"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,676,1000_AL_.jpg";"Charles Chaplin";125;"2";"The Great Dictator";"Charles Chaplin";0;1;"Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.";"https://www.youtube.com/watch?v=zroWIN-lS8E";"1940"
39;"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford";"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg";"Charles Chaplin";87;"2";"Modern Times";"Charles Chaplin";0;0;"The Tramp struggles to live in modern industrial society with the help of a young homeless woman.";"https://www.youtube.com/watch?v=GLeDdzGUTq0";"1936"
40;"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser";"https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,643,1000_AL_.jpg";"James Cameron";137;"1";"Aliens";"James Cameron";3;1;"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?";"https://www.youtube.com/watch?v=XKSQmYUaIyE";"1986"
